  C1,       C2,       C3,       C4,       C5,       C6,       C7, C8
   1, 0.081987,-0.287225, -2.03321,  -2.0327,   1.4182, 0.513686,  1
   2, -0.92853, -2.19666,  3.37709,   0.5257,  1.54042, 0.420246,  1
   3,-0.884323, -7.29005,-0.425843, -1.77699,  -2.4937,-0.259916,  1
   4, 0.901712,-0.411791, -2.05678,  1.97186, -5.17093, 0.994531,  1
   5, -2.19911,-0.326509, -2.27733, -1.95537,-0.591493, -1.02771,  1
   6, 0.000974,  3.04693, 0.469873,-0.927001, -0.26628,  -3.8802,  2
   7, -1.44837,-0.911395,  1.31236,  1.14273,  2.38792, -3.92642,  2
   8,  3.14733,-0.645014, -1.75535,  2.74182, -2.08627, -3.61707,  2
   9, -1.14296,  1.52196,  5.53819,   1.6225, -1.12132, 0.556329,  2
  10,-0.583556, 0.807887, 0.247042,  2.15749,   2.5608,-0.195543,  2
  11, 0.988131, -3.03304, -2.41523,  2.03191, -1.99163,  1.83831,  3
  12, -0.31422,   -2.782, -1.16422, -2.72635,-0.989927, 0.417346,  3
  13, 0.718853, -1.87389,  2.29252,   1.7384, -1.59864,  3.31145,  3
  14, -3.07037, -1.31637, -4.50511, -3.93856, -3.70936, -4.26298,  3
  15, -3.11319, -5.07927,-0.883954, -3.64852, -2.72627, -1.13236,  3
  16, -1.96625, -2.87241, -3.58094,-0.786883,-0.811997,-0.588246,  4
  17, 0.097663,  6.25313,  2.42503, -1.45823,-0.139508, -2.37831,  4
  18,  1.08972, -3.64523,  1.17192, 0.256497, 0.564033,  0.18599,  4
  19, -2.15167, 0.114599,  2.91046, 0.795867,  1.79002, -1.33693,  4
  20,  1.20228,  4.55095,  2.03159,  1.23967, -2.02627,  -5.1721,  4
  21,  2.65195, -3.38791,  1.44605,  2.92771,  1.46336,  2.42143,  5
  22,  3.16609,-0.928854,  2.37261,  -2.6459, 0.897037, -1.44542,  5
  23, -1.67076, -3.07578,-0.227925, -7.04315, -1.13215, -3.61203,  5
  24,   -2.969, -2.04037,-0.688154, -2.87894,-0.678646, -2.86925,  5
  25,-0.374402, -2.31499,  2.68606,  -4.3237,-0.664739,  1.67546,  5
  26, -3.02395, -1.65595,   1.6628, -1.71008,  3.57048,  2.45497,  6
  27,  1.49918,  4.70308,  1.80783,   2.8702, -3.49199, -2.90283,  6
  28, 0.851943,  2.28249,  3.31236, -2.56057,-0.482997, 0.061676,  6
  29, -2.51311, -3.02229, -3.28778,-0.451742,-0.245688, -1.44457,  6
  30,  1.76278,-0.106958, -2.09363,  3.40422,-0.731709,-0.558177,  6
  31,   1.3428, -4.12452,  2.38009, -4.16909, -3.67515, -1.59555,  7
  32, -3.15514, -1.42855, -0.03867,  -4.2237, -3.40305,-0.927233,  7
  33, -2.83259, -5.57712,-0.999459, -1.55116, -6.79468,-0.190082,  7
  34,  3.81366,  4.52848,  2.57016,-0.929173,  3.03824, -1.53326,  7
  35,  -4.3913, 0.571495,-0.506834, -3.14168, -2.58649, -4.57603,  7
  36,  3.67954,  2.60985, -2.84344, 0.218789, 0.866143,  1.42249,  8
  37, -2.76301,-0.255928, -4.84446,-0.669044, -3.22693, -2.43733,  8
  38, -1.08556,-0.823362,  1.72616,  4.79176, 0.873164,  3.87335,  8
  39, 0.130872,-0.338813, 0.464984, 0.582936,  1.23147,-0.588275,  8
  40, -2.15406, -3.89369,  2.82053,-0.822872, -2.49284, -0.67696,  8
  41, 0.554734,-0.641632,  -2.3282,  1.90191,  2.19167, -3.09871,  9
  42,  0.41083,  1.80406,-0.484176,  3.13313,  3.67061,  2.98038,  9
  43, -2.59905,-0.252984,  2.05281, -2.58864,  1.32211,  1.32285,  9
  44, -3.19528, -3.70542,  1.33326,  1.43279,-0.779335,  2.17566,  9
  45,  2.75148,  1.82079, 0.137263,  1.42693,  3.11668, 0.616086,  9
  46,  3.05553, -2.54903,-0.634769, -1.83556,  -3.7001, -2.84706, 10
  47,   2.0196,  3.42902, -1.14945, 0.181176, -1.06155,  1.22928, 10
  48,  3.16974,  1.98746, -2.10891, 0.247373,  2.01942, -1.67153, 10
  49, 0.689341,   1.0143, -1.89001,-0.425527, -2.28174, -3.50291, 10
  50,  2.78764,  2.91324, 0.612212,  1.51725,   2.0882,-0.797835, 10
  51,-0.172369,-0.579355,-0.744354,-0.094218, -1.88765,-0.683976, 11
  52,  1.24314, -4.68254, -4.76841, 0.583851, -3.18021, 0.249128, 11
  53, -1.46331,-0.624718,  1.19395, -4.09751, -2.38326, -3.57925, 11
  54, 0.020553,  2.86126,  1.07968,  2.39064, -1.27878,-0.383072, 11
  55,  2.98233,  2.91878, -1.80335,-0.401526, -4.92856, -2.91976, 11
  56,   -1.017,  2.43368, 0.446109, -1.68157,-0.875456, 0.223665, 12
  57,  3.27992, 0.813544, -2.15695,-0.987513,-0.120436,-0.637253, 12
  58,-0.455382,  3.39755, 0.689591,  2.46744,  -0.6799,  2.55942, 12
  59, 0.098534,-0.144874, -2.71225,  2.87744,  -3.0805, 0.502973, 12
  60,-0.315965,  1.86589,-0.700657, -7.11248,-0.763053, -3.76428, 12
  61, -1.62427,-0.590519,  2.59479, 0.198521,  2.54723,   1.6326, 13
  62,  3.99794,  2.45157,  5.42927,   4.8682,  1.01595,-0.847346, 13
  63, -1.58264,-0.400054, -1.12496,  2.39162, -1.31535,  5.63972, 13
  64,  1.12032,  4.83574,  1.43701,  3.49075, -1.96678,   2.7248, 13
  65,  1.42989,  -3.8408,  1.99312, -1.44516, 0.011786, -4.15885, 13
  66, -4.69597, -2.07048,  2.38789,  2.32204,  0.22737, -2.65833, 14
  67, -2.35324,  -3.4846,  5.09512,  5.06973,-0.107466,   -1.795, 14
  68, -3.56961, -2.32645, 0.138628, -1.06135, 0.207092, -2.10009, 14
  69, -1.23075, -3.63691,-0.202331,  1.97405,  1.78909,  2.38788, 14
  70, -3.65751,-0.425935, -1.26153, 0.237776,  4.55608,  3.33867, 14
  71,  4.30471,  3.47728, 0.408396,  5.09507, 0.138364,  4.24226, 15
  72,  2.66719, -7.81853,-0.653122,   2.3754,  1.55787, 0.834417, 15
  73,-0.369534, 0.159944,  2.46966,  2.45002, -1.65999,  -2.8131, 15
  74, -3.11853, -2.60488, -4.86469,  2.46405,-0.736235, -4.25438, 15
  75,  2.23133, 0.797198,  2.14641,  2.80295, -3.85655,-0.534505, 15
  76,  2.56978,  1.62105,  7.04876,  6.97298,-0.109424,  -2.3113, 16
  77,  2.48185,  3.55638,  3.41231,  4.06109, -2.87041,  1.41776, 16
  78, 0.835132,  4.27276,  5.45172,  7.12277,  5.50922, 0.211464, 16
  79, -2.31044, 0.221454, -1.11346,  1.45895, -1.43545,-0.179766, 16
  80,-0.007344,  1.22035,  1.09578,  2.04608,  3.54442, 0.711134, 16
  81,  2.02255,  2.77956,  3.37513,   2.4779,  5.10453,   5.2608, 17
  82,-0.166639, 0.830423,  2.09902,  2.75552, -4.79003,  6.50289, 17
  83, 0.451334, -3.57689,  3.47946,  3.04632,  2.31198,  7.70769, 17
  84, -4.45958, -3.05729,-0.086725,-0.775512, -1.43504,  4.52013, 17
  85,-0.497754, -2.79103,  3.63825, -1.01991,  0.30877,  6.36876, 17
  86, -1.90791, 0.347738, 0.273852,  0.31183, -1.09381, -1.86988, 18
  87,-0.440946, -3.16693, 0.153846, -3.45092, -1.00909, -4.66224, 18
  88, -1.73014,-0.418876, 0.254958, -2.89942,-0.532118, -2.17957, 18
  89,  -1.0956, -2.92323,-0.845806,  -5.9456, -2.18801, -4.89849, 18
  90,  3.29485,  1.14027,  1.06015, -2.46287,  2.57184, -2.71479, 18
  91,   2.1654, -1.83882,-0.443582, -3.28109,  1.61875, 0.661881, 19
  92,  3.82348,  1.05513,  2.54254,  2.33772, 0.020801,-0.008017, 19
  93,   1.8416,  0.38808,  1.06505,  2.52916,-0.028497, 0.201288, 19
  94,   5.0274,  1.59621, -1.30577,  2.48055, 0.447533,-0.643241, 19
  95, -2.26177, 0.799964, -1.99746,  1.03942,  2.26433,  1.68312, 19
  96,-0.651834,-0.379508, -2.26052, -2.41447, -1.25348, -1.07304, 20
  97,-0.845828, 0.341547, 0.154991, -1.44458,  1.92165, -1.87634, 20
  98, -3.27278, -2.19702,-0.849397, -1.58798,  4.14655, -2.21567, 20
  99,  1.83704, -2.01055, -1.62924,  2.56245,  1.68882, -2.44384, 20
 100,  4.15617, -3.46987, -1.16268,  2.14815,  1.00876,  4.07039, 20
 101,  2.63482,  2.95622,  1.53772, 0.231495,  1.56708,-0.815526, 21
 102,  5.41967,  8.42018,   6.2277,  2.14191, 0.990348,-0.509617, 21
 103,  1.80549,  2.33471,  1.61849,  1.09118, 0.767848,  3.89425, 21
 104, 0.635777, 0.788085,  1.99038, 0.746664,  1.42237,-0.741275, 21
 105,  2.22277, 0.262222,-0.063288, -1.49458,  -3.4186,-0.776433, 21
 106,-0.276656, -2.23826, -1.63478, -6.33095, -8.86146, -2.43729, 22
 107,  5.23617,  3.31703,  2.98491,  1.57757,  1.17202, 0.940908, 22
 108, 0.994409, -0.95966,-0.332084, -6.10014, -4.77643, 0.256877, 22
 109,-0.247634,  2.97475, -1.36596, -4.48607, -3.97187, -3.16836, 22
 110,  3.25257, 0.063569,  2.80894, -3.14804, -4.30083, 0.702249, 22
 111, -1.16675, 0.973079,-0.987495, -3.81269,-0.116321, -3.00665, 23
 112,  2.09272,  5.52854,  3.46566,-0.436956,   -3.722,  1.93001, 23
 113,  2.21774,  4.21028,   2.5242,  3.68011,  3.09529,  1.71873, 23
 114,  2.28985,   5.3689,-0.878592,  1.83461,-0.901255, -2.95903, 23
 115,-0.067037, -2.42352,  -1.3695, -1.98898, -4.49441, -3.35515, 23
 116,   1.4767,-0.043746,  1.77386,  2.02641, -4.27018, -2.38792, 24
 117, -1.09919,-0.901752, -1.37707, -5.56332, -1.06291, -4.92354, 24
 118,  5.29677, 0.543245, 0.133166,  1.75087, 0.382763, -2.07249, 24
 119,  3.76083,  5.59829,  1.69265,  3.11248,   4.1966,-0.068015, 24
 120, 0.087619,  4.24439,  4.25291, -1.60911,-0.422484, -1.26244, 24
 121, -1.41946,-0.473954,-0.328854, 0.237343,  3.67186,  4.80764, 25
 122,  2.39541, -1.12691,  5.23791,  2.59634,  2.87117,   2.3938, 25
 123, -1.27324, -3.49852,   1.9304, -0.85058,-0.104848, -2.82349, 25
 124, 0.330088,   -0.573, -2.44011, 0.709451,   3.9348,  2.25886, 25
 125, 0.405647, 0.574352,  2.05632,  1.04275,  6.51515,-0.992126, 25
 126,-0.377235,-0.482903, 0.548468,   2.4045, -2.83598, 0.595753, 26
 127, 0.133705,  -3.8022,   2.2272,   -2.697, -3.95252,  1.40121, 26
 128, -6.10814, 0.760499,  2.97259, -5.64411, -6.80004, -4.41866, 26
 129,-0.468241, -3.70486,-0.448533, -2.86625, -7.09787,  -3.2731, 26
 130, -4.01509,-0.854874,  1.74918, -1.16014, 0.798637, -1.51144, 26
 131,  2.33427, -1.25876,  -1.6406,-0.448599,   4.7508,   -2.423, 27
 132,  -1.1123,-0.632895, -3.19658, -1.49115,  5.88854,  3.15767, 27
 133,    3.832, -5.02813, -2.97322, 0.459374,-0.256117, -3.55032, 27
 134, 0.724285, -3.47121, -4.69814, -2.62076,  -3.4535, -1.35121, 27
 135, 0.141804, -1.07021,-0.735398, -3.35637, -1.56797, -0.94466, 27
 136, 0.932039, 0.679799,   5.3449, 0.474719,  1.58481, -1.49252, 28
 137,-0.725382,  1.88636,  1.27663, -3.56424,-0.717952, 0.915229, 28
 138, 0.658666,-0.101906,  5.26333,  2.61526,-0.127167,  2.82682, 28
 139,-0.467249,  3.00463,  2.08536,  2.96337,  1.58689, -3.26469, 28
 140,  -2.8919,  1.13042,  2.76058, -3.35961, 0.517108, -6.47691, 28
 141, -0.26183, 0.776497,  4.51138,  3.27483, 0.292863,  5.98436, 29
 142,  1.33881,-0.872182, -2.23406, -1.44318, -5.41518,  3.34011, 29
 143, -2.10826,  -1.0306,  1.55358,-0.389972,  1.05776,  0.75685, 29
 144,  1.25358,  2.54604,  1.87713,  1.40472, 0.708725,  1.80378, 29
 145, -4.54322,  1.33904, -2.85006,   2.1595, 0.239583,-0.349816, 29
 146,-0.944585,  4.67268, -6.38405,-0.055539, -2.92518,-0.980259, 30
 147, -10.4819, -2.33431, -3.06449, -1.42833,-0.203613, -1.38177, 30
 148,  4.63014,  4.28028, -1.28835,  4.29361,-0.192022,  4.12434, 30
 149,   2.1867,  4.47159,  1.48259, 0.886779,  3.80386,  5.59854, 30
 150, -1.14385,  4.73229, -1.36127,-0.129692,  1.41823,  4.37319, 30
 151,  4.82745,-0.907547,  1.93971,-0.664046, 0.987697, -5.27294, 31
 152,  3.00157, -4.22775, -1.32642, -1.91769,  4.35642, 0.152144, 31
 153,  1.71156, -1.80592,  1.54502, -1.44569, -1.21048, -4.41934, 31
 154,  4.07165, -1.42709, -1.12237, -2.26762, -1.82861,-0.757055, 31
 155, 0.083877, -2.65177, 0.912156,  1.94545,  3.21859,  4.51707, 31
 156,  5.57479,  2.18981,  4.10052,   2.8041, 0.275317,  -0.3181, 32
 157,  1.55882,    2.172,  2.92017,  4.34532,  5.30358,  1.12655, 32
 158,  1.65468,  5.10361,-0.340892, -2.06557, -4.00657, -5.80843, 32
 159, -3.25161, -1.16761,  1.87683,  1.87975,  0.13869,-0.767331, 32
 160,  4.08292,  2.35983,-0.003391,-0.131847,-0.551911, -0.55924, 32
 161,   1.4964, -0.22637,   3.0329,  2.31379,  0.28982, 0.057825, 33
 162,   2.0335,  3.06761,  6.26313, -4.62119,-0.755623, 0.950131, 33
 163,  2.36909,  2.55669, 0.965324, -4.13583,  3.41552,  1.53655, 33
 164,  1.97894,  5.40845,  6.05507,  4.08981,  1.16153,  2.77581, 33
 165,   3.6439,  2.00898,  2.60795, -1.65564, 0.399983,-0.724044, 33
 166,  0.29324, 0.431821,  3.29702,  -1.8239,-0.116063,-0.614198, 34
 167,-0.909912,  5.04981,  3.85486,  -1.1724,  2.29384,  2.61959, 34
 168, 0.625305, 0.033188,  2.24807, 0.388971,  1.52362,  4.95397, 34
 169, -6.15365, -1.87329, 0.740142,-0.720272, -1.56298, -2.86112, 34
 170, 0.095758,   5.3309,  2.16135,  1.97076, 0.920937,  2.82638, 34
 171, 0.048172,  -1.0199, -0.89885, 0.644718,  1.91474,  2.25153, 35
 172, -2.53529, 0.840687,  1.88707, -2.49474, -2.52983, 0.771431, 35
 173, -1.67064, -3.79333,-0.349585, -3.75726, -1.89974, -1.54898, 35
 174, 0.206778, 0.212415,-0.812568, 0.073541, -1.70458, -1.60777, 35
 175,  4.88269, -4.53436, -4.70256,-0.424401, -3.01413, -3.90047, 35
 176,  -2.6192, -5.38387,    3.391, -1.63903,  3.57687, -1.45792, 36
 177, -2.37371, -6.70795, -2.94847, -5.04742, -4.02911,  1.23159, 36
 178,  -1.0247, -2.41892,-0.199305, -1.81848,  4.23792,  5.65237, 36
 179, -4.19344, -1.02079,  -1.3583, -2.03515, -1.07932,  3.31285, 36
 180,-0.079093,  -3.4378, 0.147024, -1.82329, -2.15448,  1.06706, 36
 181, -2.72034,-0.611505, -2.46526, -0.70615, 0.327556, -9.09023, 37
 182,  3.40234,   2.6279,   4.0119, -3.39356, 0.690725, -1.80236, 37
 183,  3.23627, -2.32886, -4.41424,  -3.5933, -2.89064, -3.83149, 37
 184,  4.26211,-0.434354,  3.34493, 0.411747,  4.46258,  2.44034, 37
 185,   1.7151,-0.904653,  3.80529,  1.06107,  1.41255, 0.463072, 37
 186, 0.358034, 0.616934,-0.436347, -1.52894, 0.475423, -1.38521, 38
 187, 0.037479,  1.96128,  2.10673, 0.389082, -4.07845, 0.282993, 38
 188,  0.11181, -2.48515, -1.74632, -2.88981, 0.965046, -5.40921, 38
 189,  3.26836,  7.08035,  4.23459, -1.92801,-0.148284, 0.679061, 38
 190,-0.941123,  3.94865, 0.212421,  3.97845,  1.64074, 0.508765, 38
 191,  3.18015,  2.16842,  4.75131,  1.67049,  5.69204,  4.10754, 39
 192,  0.24865,-0.200343,-0.678073, -3.67503,  2.23307,-0.510389, 39
 193, -1.58916,  2.43958,  2.33129, -1.67498,   -1.329, -2.54214, 39
 194,-0.869542,  3.52153, -0.09274,  1.21495,  2.74821,  1.54211, 39
 195,  2.28509, -3.40723,-0.521658,  -3.6241, -2.27416, -1.91522, 39
 196,-0.623761,  1.37697,  1.32794,  1.35644,  5.40954,-0.225831, 40
 197,-0.344052, -1.50206, 0.104745,  0.01149,  1.14935,   -1.489, 40
 198, -4.22869, -4.57529,-0.588576,  2.60789,  -1.3539,  1.47131, 40
 199,  3.82354,   3.2291,  5.15215, 0.438307,-0.495619,  5.60887, 40
 200,   1.9434, -2.32402, -2.82374, -2.01478,-0.448431,  1.09302, 40
 201,  3.51198,  1.96603,  1.19811, -3.77083,  2.31474,-0.573808, 41
 202,-0.088122, -1.71932,-0.893179, 0.112631,-0.709008,-0.821943, 41
 203,  2.02622,  0.38779, 0.182507,   3.3202, -3.41965, 0.388251, 41
 204,   0.3943, -2.71862, 0.808012, -1.84021, -7.57415, -3.57133, 41
 205,  3.88616, 0.994444, 0.703519, -2.88754, -4.17248, 0.125574, 41
 206, 0.666724,  1.95377, 0.136133, 0.421855, -1.23713, -3.89251, 41
 207,  -1.2968, 0.453337, 0.730359, -1.54904, -0.86591, -4.50678, 41
 208, -2.17411, -4.11713, -1.02628,-0.782757, -5.53741, -1.83996, 41
 209,  3.85588,  1.26069,-0.098022,  3.85927,  0.94105,  3.16838, 41
 210,  3.73547, 0.052252, -2.90749, -2.34918, -2.16056, -6.51882, 41
 211, -2.67597, 0.430675,   -4.762,  1.56309, 0.832919,  5.24997, 42
 212,   1.1361,  1.71067, -1.43175,  2.86954,   3.7016,  1.95811, 42
 213, -6.03741, -3.10132, -2.84505, -3.41196, 0.516762,  3.04393, 42
 214, -2.01088,-0.485031, -4.57018,   2.8271,  1.13797,  2.72891, 42
 215, -1.94803, -3.19538,  1.60635, -1.72248, -0.30742, -1.34056, 42
 216, 0.339477,   3.8571,  1.91707,  4.35916, -0.82854,  5.43164, 42
 217, -2.85444,-0.403735, -3.20707, -1.69098, -1.10843,  3.36869, 42
 218, -2.78931,  2.51226,  -4.4603, -0.27452, -1.60423, -1.50021, 42
 219,  -6.8536, -3.41737, -3.03895, 0.979996,  1.17978,-0.714751, 42
 220,  1.50905,  2.43067,-0.468098, -1.49141,-0.262352, -1.39578, 42
 221, 0.805312, 0.320996,  1.06274,  1.14432, -4.00666,   4.2525, 43
 222, -4.26669, 0.232636, -4.40704,  2.28542,  2.75815,  2.05923, 43
 223,  1.23257, -2.12336,  1.58217,  1.07229,   2.1057,  4.55154, 43
 224,  3.89368, 0.220518,  2.25061, -4.44214, -5.84194, -3.54411, 43
 225, -1.16207,-0.882757, -1.75603, 0.470415, -2.90366, 0.238065, 43
 226,  4.20908,  1.66456,  -2.5398,-0.793158, -3.93271, -3.07456, 43
 227,  4.55739,-0.466345,-0.168562, -1.78972,  -4.3158,  1.10849, 43
 228,  2.57419, 0.718308,-0.586416,-0.131484,  -1.7051, 0.967339, 43
 229,-0.061271,  1.96987,  4.29877, 0.453679, 0.619656,  1.66582, 43
 230, 0.065973, -4.36623,   -3.707, -4.11729,  1.34515, 0.410658, 43
 231, -1.33913, -1.14343,-0.285082,  2.49817, -3.22321,  2.49036, 44
 232, 0.077365,   -3.592,-0.952478,-0.468943, -1.44584, -1.36959, 44
 233,  1.18846, -2.18749,  1.64343, -2.27788,  4.45374,  1.63584, 44
 234,  2.98655, -2.66243,  -0.9047,  2.72713, -1.82941, -1.34143, 44
 235,   3.3156,   4.6729,   2.1102,  4.42716,  2.29998,    3.364, 44
 236, -3.27021, -4.83946, -5.25558, -0.01422,  3.15575, -1.94266, 44
